trial,block,odor,A,type,code,device,device_odor,flow,total_odor_flow,carrier_out
1,1,A,1,1,11,1,1,25,25,675
2,2,A,1,1,11,1,1,25,25,675
3,3,A,1,1,11,1,1,25,25,675
4,4,A,1,1,11,1,1,25,25,675
5,5,A,1,1,11,1,1,25,25,675
6,6,A,1,1,11,1,1,25,25,675
7,7,A,1,1,11,1,1,25,25,675
8,8,A,1,1,11,1,1,25,25,675
9,9,A,1,1,11,1,1,25,25,675
10,10,A,1,1,11,1,1,25,25,675
11,11,A,1,1,11,1,1,25,25,675
12,12,A,1,1,11,1,1,25,25,675
13,13,A,1,1,11,1,1,25,25,675
14,14,A,1,1,11,1,1,25,25,675
15,15,A,1,1,11,1,1,25,25,675
16,16,A,1,1,11,1,1,25,25,675
17,17,A,1,1,11,1,1,25,25,675
18,18,A,1,1,11,1,1,25,25,675
19,19,A,1,1,11,1,1,25,25,675
20,20,A,1,1,11,1,1,25,25,675
21,21,A,1,1,11,1,1,25,25,675
22,22,A,1,1,11,1,1,25,25,675
23,23,A,1,1,11,1,1,25,25,675
24,24,A,1,1,11,1,1,25,25,675
25,25,A,1,1,11,1,1,25,25,675
