trial,block,A,B,C,D,E,F,type,code,odor_number,flow,total_odor_flow,carrier_out
1,1,1,0,1,0,0,1,101001,41,3,100,300,600
2,1,1,1,1,0,0,1,111001,57,4,100,400,500
3,1,0,1,1,0,0,1,011001,25,3,100,300,600
4,1,0,1,1,0,1,1,011011,27,4,100,400,500
5,1,0,1,1,1,0,0,011100,28,3,100,300,600
6,1,1,0,1,0,1,0,101010,42,3,100,300,600
7,1,0,1,1,0,1,0,011010,26,3,100,300,600
8,1,1,1,1,1,0,0,111100,60,4,100,400,500
9,1,1,0,1,1,1,1,101111,47,5,100,500,400
10,1,0,0,1,1,0,0,001100,12,2,100,200,700
11,1,1,1,1,0,1,0,111010,58,4,100,400,500
12,1,0,0,1,0,1,0,001010,10,2,100,200,700
13,1,0,0,0,0,1,1,000011,3,2,100,200,700
14,1,1,1,1,1,1,1,111111,63,6,100,600,300
15,1,1,1,0,0,1,1,110011,51,4,100,400,500
16,1,1,1,0,0,1,0,110010,50,3,100,300,600
17,1,0,0,0,0,0,1,000001,1,1,100,100,800
18,1,1,1,1,1,0,1,111101,61,5,100,500,400
19,1,0,0,1,0,1,1,001011,11,3,100,300,600
20,1,1,1,0,1,0,0,110100,52,3,100,300,600
21,1,0,0,0,1,0,0,000100,4,1,100,100,800
22,1,1,0,0,1,0,1,100101,37,3,100,300,600
23,1,1,1,0,1,0,1,110101,53,4,100,400,500
24,1,1,0,0,1,0,0,100100,36,2,100,200,700
25,1,0,1,1,1,1,1,011111,31,5,100,500,400
26,1,0,0,1,1,0,1,001101,13,3,100,300,600
27,1,0,1,1,1,1,0,011110,30,4,100,400,500
28,1,1,1,0,0,0,1,110001,49,3,100,300,600
29,1,0,0,1,0,0,1,001001,9,2,100,200,700
30,1,1,0,1,1,0,1,101101,45,4,100,400,500
31,1,1,0,0,0,0,0,100000,32,1,100,100,800
32,1,1,0,0,0,1,0,100010,34,2,100,200,700
33,1,1,0,1,1,0,0,101100,44,3,100,300,600
34,1,0,1,0,1,0,0,010100,20,2,100,200,700
35,1,1,0,0,1,1,0,100110,38,3,100,300,600
36,1,0,0,0,1,0,1,000101,5,2,100,200,700
37,1,1,1,1,0,1,1,111011,59,5,100,500,400
38,1,0,1,0,0,1,0,010010,18,2,100,200,700
39,1,0,0,1,0,0,0,001000,8,1,100,100,800
40,1,0,1,0,1,1,1,010111,23,4,100,400,500
41,1,1,1,0,0,0,0,110000,48,2,100,200,700
42,1,0,0,0,0,1,0,000010,2,1,100,100,800
43,1,1,0,1,1,1,0,101110,46,4,100,400,500
44,1,0,0,0,1,1,1,000111,7,3,100,300,600
45,1,0,0,1,1,1,0,001110,14,3,100,300,600
46,1,0,1,0,0,1,1,010011,19,3,100,300,600
47,1,1,0,0,0,0,1,100001,33,2,100,200,700
48,1,0,1,1,0,0,0,011000,24,2,100,200,700
49,1,1,1,0,1,1,1,110111,55,5,100,500,400
50,1,0,1,0,1,0,1,010101,21,3,100,300,600
51,1,1,0,1,0,0,0,101000,40,2,100,200,700
52,1,1,0,0,1,1,1,100111,39,4,100,400,500
53,1,1,0,1,0,1,1,101011,43,4,100,400,500
54,1,0,0,0,1,1,0,000110,6,2,100,200,700
55,1,0,1,1,1,0,1,011101,29,4,100,400,500
56,1,1,1,1,0,0,0,111000,56,3,100,300,600
57,1,0,1,0,0,0,1,010001,17,2,100,200,700
58,1,0,1,0,1,1,0,010110,22,3,100,300,600
59,1,0,0,1,1,1,1,001111,15,4,100,400,500
60,1,1,1,1,1,1,0,111110,62,5,100,500,400
61,1,1,0,0,0,1,1,100011,35,3,100,300,600
62,1,0,1,0,0,0,0,010000,16,1,100,100,800
63,1,1,1,0,1,1,0,110110,54,4,100,400,500
64,1,0,0,0,0,0,0,000000,0,0,0,0,900
65,2,1,1,1,1,1,1,111111,63,6,100,600,300
66,2,0,1,1,0,1,0,011010,26,3,100,300,600
67,2,1,0,0,1,1,1,100111,39,4,100,400,500
68,2,0,0,1,1,1,0,001110,14,3,100,300,600
69,2,1,1,0,0,1,1,110011,51,4,100,400,500
70,2,1,1,1,1,1,0,111110,62,5,100,500,400
71,2,0,1,1,1,1,1,011111,31,5,100,500,400
72,2,0,1,0,1,1,0,010110,22,3,100,300,600
73,2,0,1,0,0,1,1,010011,19,3,100,300,600
74,2,0,1,1,1,0,1,011101,29,4,100,400,500
75,2,0,1,1,0,0,0,011000,24,2,100,200,700
76,2,0,1,0,1,0,1,010101,21,3,100,300,600
77,2,1,1,1,1,0,0,111100,60,4,100,400,500
78,2,1,0,0,0,0,0,100000,32,1,100,100,800
79,2,1,0,1,0,1,1,101011,43,4,100,400,500
80,2,0,0,1,0,0,1,001001,9,2,100,200,700
81,2,1,1,0,1,1,1,110111,55,5,100,500,400
82,2,1,0,0,0,1,0,100010,34,2,100,200,700
83,2,0,1,1,0,0,1,011001,25,3,100,300,600
84,2,0,0,0,1,1,0,000110,6,2,100,200,700
85,2,1,0,0,1,0,1,100101,37,3,100,300,600
86,2,1,0,1,0,1,0,101010,42,3,100,300,600
87,2,1,1,0,0,0,0,110000,48,2,100,200,700
88,2,0,1,0,1,0,0,010100,20,2,100,200,700
89,2,0,0,1,0,1,0,001010,10,2,100,200,700
90,2,0,0,1,0,1,1,001011,11,3,100,300,600
91,2,0,0,0,0,0,1,000001,1,1,100,100,800
92,2,0,1,0,0,1,0,010010,18,2,100,200,700
93,2,0,0,1,1,0,0,001100,12,2,100,200,700
94,2,1,0,1,1,1,1,101111,47,5,100,500,400
95,2,1,1,1,0,0,1,111001,57,4,100,400,500
96,2,1,0,1,0,0,1,101001,41,3,100,300,600
97,2,1,1,0,1,1,0,110110,54,4,100,400,500
98,2,1,1,0,0,0,1,110001,49,3,100,300,600
99,2,1,0,1,1,1,0,101110,46,4,100,400,500
100,2,0,0,0,1,1,1,000111,7,3,100,300,600
101,2,0,1,1,1,0,0,011100,28,3,100,300,600
102,2,0,0,0,1,0,1,000101,5,2,100,200,700
103,2,1,1,1,0,0,0,111000,56,3,100,300,600
104,2,1,0,1,0,0,0,101000,40,2,100,200,700
105,2,1,1,0,1,0,0,110100,52,3,100,300,600
106,2,1,0,0,1,0,0,100100,36,2,100,200,700
107,2,0,1,1,1,1,0,011110,30,4,100,400,500
108,2,0,0,0,0,0,0,000000,0,0,0,0,900
109,2,0,1,0,1,1,1,010111,23,4,100,400,500
110,2,0,0,1,0,0,0,001000,8,1,100,100,800
111,2,1,0,0,1,1,0,100110,38,3,100,300,600
112,2,1,0,0,0,0,1,100001,33,2,100,200,700
113,2,1,1,1,1,0,1,111101,61,5,100,500,400
114,2,0,0,1,1,0,1,001101,13,3,100,300,600
115,2,0,0,0,0,1,0,000010,2,1,100,100,800
116,2,0,1,0,0,0,0,010000,16,1,100,100,800
117,2,0,0,0,0,1,1,000011,3,2,100,200,700
118,2,1,1,1,0,1,0,111010,58,4,100,400,500
119,2,0,0,1,1,1,1,001111,15,4,100,400,500
120,2,0,1,0,0,0,1,010001,17,2,100,200,700
121,2,1,1,0,1,0,1,110101,53,4,100,400,500
122,2,1,0,0,0,1,1,100011,35,3,100,300,600
123,2,1,0,1,1,0,0,101100,44,3,100,300,600
124,2,0,0,0,1,0,0,000100,4,1,100,100,800
125,2,1,1,0,0,1,0,110010,50,3,100,300,600
126,2,1,0,1,1,0,1,101101,45,4,100,400,500
127,2,0,1,1,0,1,1,011011,27,4,100,400,500
128,2,1,1,1,0,1,1,111011,59,5,100,500,400
129,3,0,0,1,0,1,0,001010,10,2,100,200,700
130,3,0,1,1,0,1,0,011010,26,3,100,300,600
131,3,1,0,0,1,1,1,100111,39,4,100,400,500
132,3,0,1,0,1,1,0,010110,22,3,100,300,600
133,3,0,1,1,0,1,1,011011,27,4,100,400,500
134,3,0,1,1,0,0,0,011000,24,2,100,200,700
135,3,1,1,1,0,0,1,111001,57,4,100,400,500
136,3,1,0,1,0,0,1,101001,41,3,100,300,600
137,3,0,0,1,1,1,0,001110,14,3,100,300,600
138,3,0,0,0,1,1,1,000111,7,3,100,300,600
139,3,0,0,1,1,1,1,001111,15,4,100,400,500
140,3,1,1,0,0,1,1,110011,51,4,100,400,500
141,3,1,0,1,0,0,0,101000,40,2,100,200,700
142,3,0,0,0,0,0,0,000000,0,0,0,0,900
143,3,1,0,1,1,0,0,101100,44,3,100,300,600
144,3,0,0,1,0,0,0,001000,8,1,100,100,800
145,3,1,1,1,0,1,0,111010,58,4,100,400,500
146,3,1,0,0,1,0,0,100100,36,2,100,200,700
147,3,0,0,0,1,0,0,000100,4,1,100,100,800
148,3,0,0,0,1,0,1,000101,5,2,100,200,700
149,3,0,1,0,0,1,0,010010,18,2,100,200,700
150,3,0,1,0,0,1,1,010011,19,3,100,300,600
151,3,1,1,0,1,0,0,110100,52,3,100,300,600
152,3,0,0,0,0,1,0,000010,2,1,100,100,800
153,3,1,1,1,0,1,1,111011,59,5,100,500,400
154,3,1,0,0,0,0,0,100000,32,1,100,100,800
155,3,0,0,0,0,1,1,000011,3,2,100,200,700
156,3,1,0,0,0,1,1,100011,35,3,100,300,600
157,3,0,0,1,1,0,0,001100,12,2,100,200,700
158,3,1,1,0,0,0,0,110000,48,2,100,200,700
159,3,0,1,0,1,1,1,010111,23,4,100,400,500
160,3,1,0,1,0,1,1,101011,43,4,100,400,500
161,3,1,0,1,1,1,0,101110,46,4,100,400,500
162,3,0,1,0,1,0,0,010100,20,2,100,200,700
163,3,1,1,1,1,0,1,111101,61,5,100,500,400
164,3,1,0,0,0,0,1,100001,33,2,100,200,700
165,3,1,1,0,0,1,0,110010,50,3,100,300,600
166,3,0,1,1,1,1,0,011110,30,4,100,400,500
167,3,0,1,0,0,0,1,010001,17,2,100,200,700
168,3,0,0,1,0,0,1,001001,9,2,100,200,700
169,3,0,1,1,1,0,1,011101,29,4,100,400,500
170,3,1,1,0,1,1,1,110111,55,5,100,500,400
171,3,0,1,1,0,0,1,011001,25,3,100,300,600
172,3,1,0,0,0,1,0,100010,34,2,100,200,700
173,3,0,1,0,0,0,0,010000,16,1,100,100,800
174,3,1,1,1,1,0,0,111100,60,4,100,400,500
175,3,1,1,0,1,1,0,110110,54,4,100,400,500
176,3,1,1,1,0,0,0,111000,56,3,100,300,600
177,3,1,0,0,1,1,0,100110,38,3,100,300,600
