trial,block,odor,A,type,code,device,device_odor,flow,total_odor_flow,carrier_out
1,1,A,1,1,24,2,4,40,40,860
2,2,A,1,1,24,2,4,40,40,860
3,3,A,1,1,24,2,4,40,40,860
4,4,A,1,1,24,2,4,40,40,860
5,5,A,1,1,24,2,4,40,40,860
6,6,A,1,1,24,2,4,40,40,860
7,7,A,1,1,24,2,4,40,40,860
8,8,A,1,1,24,2,4,40,40,860
9,9,A,1,1,24,2,4,40,40,860
10,10,A,1,1,24,2,4,40,40,860
11,11,A,1,1,24,2,4,40,40,860
12,12,A,1,1,24,2,4,40,40,860
13,13,A,1,1,24,2,4,40,40,860
14,14,A,1,1,24,2,4,40,40,860
15,15,A,1,1,24,2,4,40,40,860
16,16,A,1,1,24,2,4,40,40,860
17,17,A,1,1,24,2,4,40,40,860
18,18,A,1,1,24,2,4,40,40,860
19,19,A,1,1,24,2,4,40,40,860
20,20,A,1,1,24,2,4,40,40,860
21,21,A,1,1,24,2,4,40,40,860
22,22,A,1,1,24,2,4,40,40,860
23,23,A,1,1,24,2,4,40,40,860
24,24,A,1,1,24,2,4,40,40,860
25,25,A,1,1,24,2,4,40,40,860
