trial,block,odor,A,B,C,D,E,F,G,H,I,type,code,device,device_odor,flow,total_odor_flow,carrier_out
1,1,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
2,1,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
3,1,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
4,1,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
5,1,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
6,1,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
7,1,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
8,1,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
9,1,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
10,2,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
11,2,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
12,2,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
13,2,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
14,2,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
15,2,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
16,2,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
17,2,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
18,2,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
19,3,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
20,3,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
21,3,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
22,3,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
23,3,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
24,3,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
25,3,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
26,3,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
27,3,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
28,4,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
29,4,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
30,4,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
31,4,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
32,4,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
33,4,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
34,4,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
35,4,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
36,4,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
37,5,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
38,5,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
39,5,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
40,5,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
41,5,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
42,5,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
43,5,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
44,5,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
45,5,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
46,6,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
47,6,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
48,6,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
49,6,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
50,6,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
51,6,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
52,6,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
53,6,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
54,6,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
55,7,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
56,7,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
57,7,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
58,7,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
59,7,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
60,7,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
61,7,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
62,7,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
63,7,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
64,8,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
65,8,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
66,8,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
67,8,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
68,8,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
69,8,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
70,8,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
71,8,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
72,8,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
73,9,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
74,9,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
75,9,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
76,9,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
77,9,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
78,9,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
79,9,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
80,9,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
81,9,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
82,10,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
83,10,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
84,10,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
85,10,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
86,10,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
87,10,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
88,10,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
89,10,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
90,10,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
91,11,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
92,11,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
93,11,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
94,11,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
95,11,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
