trial,block,odor,A,B,C,D,E,F,type,code,odor_number,flow,total_odor_flow,carrier_out
1,1,A,1,0,0,0,0,0,100000,32,1,100,100,800
2,1,F,0,0,0,0,0,1,000001,1,1,100,100,800
3,1,D,0,0,0,1,0,0,000100,4,1,100,100,800
4,1,C,0,0,1,0,0,0,001000,8,1,100,100,800
5,1,E,0,0,0,0,1,0,000010,2,1,100,100,800
6,1,B,0,1,0,0,0,0,010000,16,1,100,100,800
7,2,A,1,0,0,0,0,0,100000,32,1,100,100,800
8,2,E,0,0,0,0,1,0,000010,2,1,100,100,800
9,2,C,0,0,1,0,0,0,001000,8,1,100,100,800
10,2,B,0,1,0,0,0,0,010000,16,1,100,100,800
11,2,F,0,0,0,0,0,1,000001,1,1,100,100,800
12,2,D,0,0,0,1,0,0,000100,4,1,100,100,800
13,3,D,0,0,0,1,0,0,000100,4,1,100,100,800
14,3,A,1,0,0,0,0,0,100000,32,1,100,100,800
15,3,F,0,0,0,0,0,1,000001,1,1,100,100,800
16,3,C,0,0,1,0,0,0,001000,8,1,100,100,800
17,3,B,0,1,0,0,0,0,010000,16,1,100,100,800
18,3,E,0,0,0,0,1,0,000010,2,1,100,100,800
19,4,B,0,1,0,0,0,0,010000,16,1,100,100,800
20,4,D,0,0,0,1,0,0,000100,4,1,100,100,800
21,4,F,0,0,0,0,0,1,000001,1,1,100,100,800
22,4,C,0,0,1,0,0,0,001000,8,1,100,100,800
23,4,E,0,0,0,0,1,0,000010,2,1,100,100,800
24,4,A,1,0,0,0,0,0,100000,32,1,100,100,800
25,5,F,0,0,0,0,0,1,000001,1,1,100,100,800
26,5,B,0,1,0,0,0,0,010000,16,1,100,100,800
27,5,D,0,0,0,1,0,0,000100,4,1,100,100,800
28,5,A,1,0,0,0,0,0,100000,32,1,100,100,800
29,5,C,0,0,1,0,0,0,001000,8,1,100,100,800
30,5,E,0,0,0,0,1,0,000010,2,1,100,100,800
31,6,A,1,0,0,0,0,0,100000,32,1,100,100,800
32,6,F,0,0,0,0,0,1,000001,1,1,100,100,800
33,6,D,0,0,0,1,0,0,000100,4,1,100,100,800
34,6,B,0,1,0,0,0,0,010000,16,1,100,100,800
35,6,C,0,0,1,0,0,0,001000,8,1,100,100,800
36,6,E,0,0,0,0,1,0,000010,2,1,100,100,800
37,7,F,0,0,0,0,0,1,000001,1,1,100,100,800
38,7,B,0,1,0,0,0,0,010000,16,1,100,100,800
39,7,A,1,0,0,0,0,0,100000,32,1,100,100,800
40,7,D,0,0,0,1,0,0,000100,4,1,100,100,800
41,7,C,0,0,1,0,0,0,001000,8,1,100,100,800
42,7,E,0,0,0,0,1,0,000010,2,1,100,100,800
43,8,C,0,0,1,0,0,0,001000,8,1,100,100,800
44,8,E,0,0,0,0,1,0,000010,2,1,100,100,800
45,8,B,0,1,0,0,0,0,010000,16,1,100,100,800
46,8,F,0,0,0,0,0,1,000001,1,1,100,100,800
47,8,D,0,0,0,1,0,0,000100,4,1,100,100,800
48,8,A,1,0,0,0,0,0,100000,32,1,100,100,800
49,9,D,0,0,0,1,0,0,000100,4,1,100,100,800
50,9,E,0,0,0,0,1,0,000010,2,1,100,100,800
51,9,C,0,0,1,0,0,0,001000,8,1,100,100,800
52,9,A,1,0,0,0,0,0,100000,32,1,100,100,800
53,9,F,0,0,0,0,0,1,000001,1,1,100,100,800
54,9,B,0,1,0,0,0,0,010000,16,1,100,100,800
55,10,F,0,0,0,0,0,1,000001,1,1,100,100,800
56,10,A,1,0,0,0,0,0,100000,32,1,100,100,800
57,10,B,0,1,0,0,0,0,010000,16,1,100,100,800
58,10,E,0,0,0,0,1,0,000010,2,1,100,100,800
59,10,D,0,0,0,1,0,0,000100,4,1,100,100,800
60,10,C,0,0,1,0,0,0,001000,8,1,100,100,800
