trial,block,odor,A,B,C,D,E,F,type,code,flow,total_odor_flow,carrier_out
1,1,A,1,0,0,0,0,0,100000,32,100,100,800
2,1,A,1,0,0,0,0,0,100000,32,100,100,800
3,1,A,1,0,0,0,0,0,100000,32,100,100,800
4,1,A,1,0,0,0,0,0,100000,32,100,100,800
5,1,A,1,0,0,0,0,0,100000,32,100,100,800
6,1,A,1,0,0,0,0,0,100000,32,100,100,800
7,1,B,0,1,0,0,0,0,010000,16,100,100,800
8,1,B,0,1,0,0,0,0,010000,16,100,100,800
9,1,B,0,1,0,0,0,0,010000,16,100,100,800
10,1,B,0,1,0,0,0,0,010000,16,100,100,800
11,1,B,0,1,0,0,0,0,010000,16,100,100,800
12,1,B,0,1,0,0,0,0,010000,16,100,100,800
13,1,C,0,0,1,0,0,0,001000,8,100,100,800
14,1,C,0,0,1,0,0,0,001000,8,100,100,800
15,1,C,0,0,1,0,0,0,001000,8,100,100,800
16,1,C,0,0,1,0,0,0,001000,8,100,100,800
17,1,C,0,0,1,0,0,0,001000,8,100,100,800
18,1,C,0,0,1,0,0,0,001000,8,100,100,800
19,1,D,0,0,0,1,0,0,000100,4,100,100,800
20,1,D,0,0,0,1,0,0,000100,4,100,100,800
21,1,D,0,0,0,1,0,0,000100,4,100,100,800
22,1,D,0,0,0,1,0,0,000100,4,100,100,800
23,1,D,0,0,0,1,0,0,000100,4,100,100,800
24,1,D,0,0,0,1,0,0,000100,4,100,100,800
25,1,E,0,0,0,0,1,0,000010,2,100,100,800
26,1,E,0,0,0,0,1,0,000010,2,100,100,800
27,1,E,0,0,0,0,1,0,000010,2,100,100,800
28,1,E,0,0,0,0,1,0,000010,2,100,100,800
29,1,E,0,0,0,0,1,0,000010,2,100,100,800
30,1,E,0,0,0,0,1,0,000010,2,100,100,800
31,1,F,0,0,0,0,0,1,000001,1,100,100,800
32,1,F,0,0,0,0,0,1,000001,1,100,100,800
33,1,F,0,0,0,0,0,1,000001,1,100,100,800
34,1,F,0,0,0,0,0,1,000001,1,100,100,800
