trial,block,odor,A,B,C,D,E,F,type,code,flow,total_odor_flow,carrier_out
1,1,A,1,0,0,0,0,0,100000,32,40,40,860
2,1,A,1,0,0,0,0,0,100000,32,40,40,860
3,1,A,1,0,0,0,0,0,100000,32,40,40,860
4,1,A,1,0,0,0,0,0,100000,32,40,40,860
5,1,A,1,0,0,0,0,0,100000,32,40,40,860
6,1,A,1,0,0,0,0,0,100000,32,40,40,860
7,1,A,1,0,0,0,0,0,100000,32,40,40,860
8,1,A,1,0,0,0,0,0,100000,32,40,40,860
9,1,A,1,0,0,0,0,0,100000,32,40,40,860
10,1,A,1,0,0,0,0,0,100000,32,40,40,860
11,1,B,0,1,0,0,0,0,010000,16,40,40,860
12,1,B,0,1,0,0,0,0,010000,16,40,40,860
13,1,B,0,1,0,0,0,0,010000,16,40,40,860
14,1,B,0,1,0,0,0,0,010000,16,40,40,860
15,1,B,0,1,0,0,0,0,010000,16,40,40,860
16,1,B,0,1,0,0,0,0,010000,16,40,40,860
17,1,B,0,1,0,0,0,0,010000,16,40,40,860
18,1,B,0,1,0,0,0,0,010000,16,40,40,860
19,1,B,0,1,0,0,0,0,010000,16,40,40,860
20,1,B,0,1,0,0,0,0,010000,16,40,40,860
21,1,C,0,0,1,0,0,0,001000,8,40,40,860
22,1,C,0,0,1,0,0,0,001000,8,40,40,860
23,1,C,0,0,1,0,0,0,001000,8,40,40,860
24,1,C,0,0,1,0,0,0,001000,8,40,40,860
25,1,C,0,0,1,0,0,0,001000,8,40,40,860
26,1,C,0,0,1,0,0,0,001000,8,40,40,860
27,1,C,0,0,1,0,0,0,001000,8,40,40,860
28,1,C,0,0,1,0,0,0,001000,8,40,40,860
29,1,C,0,0,1,0,0,0,001000,8,40,40,860
30,1,C,0,0,1,0,0,0,001000,8,40,40,860
31,1,D,0,0,0,1,0,0,000100,4,40,40,860
32,1,D,0,0,0,1,0,0,000100,4,40,40,860
33,1,D,0,0,0,1,0,0,000100,4,40,40,860
34,1,D,0,0,0,1,0,0,000100,4,40,40,860
35,1,D,0,0,0,1,0,0,000100,4,40,40,860
