trial,block,odor,A,B,C,D,E,F,type,code,odor_flow,carrier_out
1,1,C,0,0,1,0,0,0,001000,8,100,800
2,1,C,0,0,1,0,0,0,001000,8,100,800
3,1,C,0,0,1,0,0,0,001000,8,100,800
4,1,C,0,0,1,0,0,0,001000,8,100,800
5,1,C,0,0,1,0,0,0,001000,8,100,800
6,1,C,0,0,1,0,0,0,001000,8,100,800
7,1,C,0,0,1,0,0,0,001000,8,100,800
8,1,C,0,0,1,0,0,0,001000,8,100,800
9,1,C,0,0,1,0,0,0,001000,8,100,800
10,1,C,0,0,1,0,0,0,001000,8,100,800
11,2,C,0,0,1,0,0,0,001000,8,90,810
12,2,C,0,0,1,0,0,0,001000,8,90,810
13,2,C,0,0,1,0,0,0,001000,8,90,810
14,2,C,0,0,1,0,0,0,001000,8,90,810
15,2,C,0,0,1,0,0,0,001000,8,90,810
16,2,C,0,0,1,0,0,0,001000,8,90,810
17,2,C,0,0,1,0,0,0,001000,8,90,810
18,2,C,0,0,1,0,0,0,001000,8,90,810
19,2,C,0,0,1,0,0,0,001000,8,90,810
20,2,C,0,0,1,0,0,0,001000,8,90,810
21,3,C,0,0,1,0,0,0,001000,8,80,820
22,3,C,0,0,1,0,0,0,001000,8,80,820
23,3,C,0,0,1,0,0,0,001000,8,80,820
24,3,C,0,0,1,0,0,0,001000,8,80,820
25,3,C,0,0,1,0,0,0,001000,8,80,820
26,3,C,0,0,1,0,0,0,001000,8,80,820
27,3,C,0,0,1,0,0,0,001000,8,80,820
28,3,C,0,0,1,0,0,0,001000,8,80,820
29,3,C,0,0,1,0,0,0,001000,8,80,820
30,3,C,0,0,1,0,0,0,001000,8,80,820
31,4,C,0,0,1,0,0,0,001000,8,70,830
32,4,C,0,0,1,0,0,0,001000,8,70,830
33,4,C,0,0,1,0,0,0,001000,8,70,830
34,4,C,0,0,1,0,0,0,001000,8,70,830
35,4,C,0,0,1,0,0,0,001000,8,70,830
36,4,C,0,0,1,0,0,0,001000,8,70,830
37,4,C,0,0,1,0,0,0,001000,8,70,830
38,4,C,0,0,1,0,0,0,001000,8,70,830
39,4,C,0,0,1,0,0,0,001000,8,70,830
40,4,C,0,0,1,0,0,0,001000,8,70,830
41,5,C,0,0,1,0,0,0,001000,8,60,840
42,5,C,0,0,1,0,0,0,001000,8,60,840
43,5,C,0,0,1,0,0,0,001000,8,60,840
44,5,C,0,0,1,0,0,0,001000,8,60,840
45,5,C,0,0,1,0,0,0,001000,8,60,840
46,5,C,0,0,1,0,0,0,001000,8,60,840
47,5,C,0,0,1,0,0,0,001000,8,60,840
48,5,C,0,0,1,0,0,0,001000,8,60,840
49,5,C,0,0,1,0,0,0,001000,8,60,840
50,5,C,0,0,1,0,0,0,001000,8,60,840
51,6,C,0,0,1,0,0,0,001000,8,50,850
52,6,C,0,0,1,0,0,0,001000,8,50,850
53,6,C,0,0,1,0,0,0,001000,8,50,850
54,6,C,0,0,1,0,0,0,001000,8,50,850
55,6,C,0,0,1,0,0,0,001000,8,50,850
56,6,C,0,0,1,0,0,0,001000,8,50,850
57,6,C,0,0,1,0,0,0,001000,8,50,850
58,6,C,0,0,1,0,0,0,001000,8,50,850
59,6,C,0,0,1,0,0,0,001000,8,50,850
60,6,C,0,0,1,0,0,0,001000,8,50,850
61,7,C,0,0,1,0,0,0,001000,8,40,860
62,7,C,0,0,1,0,0,0,001000,8,40,860
63,7,C,0,0,1,0,0,0,001000,8,40,860
64,7,C,0,0,1,0,0,0,001000,8,40,860
65,7,C,0,0,1,0,0,0,001000,8,40,860
66,7,C,0,0,1,0,0,0,001000,8,40,860
67,7,C,0,0,1,0,0,0,001000,8,40,860
68,7,C,0,0,1,0,0,0,001000,8,40,860
69,7,C,0,0,1,0,0,0,001000,8,40,860
70,7,C,0,0,1,0,0,0,001000,8,40,860
71,8,C,0,0,1,0,0,0,001000,8,30,870
72,8,C,0,0,1,0,0,0,001000,8,30,870
73,8,C,0,0,1,0,0,0,001000,8,30,870
74,8,C,0,0,1,0,0,0,001000,8,30,870
75,8,C,0,0,1,0,0,0,001000,8,30,870
76,8,C,0,0,1,0,0,0,001000,8,30,870
77,8,C,0,0,1,0,0,0,001000,8,30,870
78,8,C,0,0,1,0,0,0,001000,8,30,870
79,8,C,0,0,1,0,0,0,001000,8,30,870
80,8,C,0,0,1,0,0,0,001000,8,30,870
81,9,C,0,0,1,0,0,0,001000,8,20,880
82,9,C,0,0,1,0,0,0,001000,8,20,880
83,9,C,0,0,1,0,0,0,001000,8,20,880
84,9,C,0,0,1,0,0,0,001000,8,20,880
85,9,C,0,0,1,0,0,0,001000,8,20,880
86,9,C,0,0,1,0,0,0,001000,8,20,880
87,9,C,0,0,1,0,0,0,001000,8,20,880
88,9,C,0,0,1,0,0,0,001000,8,20,880
89,9,C,0,0,1,0,0,0,001000,8,20,880
90,9,C,0,0,1,0,0,0,001000,8,20,880
91,10,C,0,0,1,0,0,0,001000,8,10,890
92,10,C,0,0,1,0,0,0,001000,8,10,890
93,10,C,0,0,1,0,0,0,001000,8,10,890
94,10,C,0,0,1,0,0,0,001000,8,10,890
95,10,C,0,0,1,0,0,0,001000,8,10,890
96,10,C,0,0,1,0,0,0,001000,8,10,890
97,10,C,0,0,1,0,0,0,001000,8,10,890
98,10,C,0,0,1,0,0,0,001000,8,10,890
99,10,C,0,0,1,0,0,0,001000,8,10,890
100,10,C,0,0,1,0,0,0,001000,8,10,890
