trial,block,odor,A,B,C,D,E,F,type,code,odor_number,flow,total_odor_flow,carrier_out
1,1,A,1,0,0,0,0,0,100000,32,1,100,100,800
2,1,A,1,0,0,0,0,0,100000,32,1,100,100,800
3,1,A,1,0,0,0,0,0,100000,32,1,100,100,800
4,1,A,1,0,0,0,0,0,100000,32,1,100,100,800
5,1,A,1,0,0,0,0,0,100000,32,1,100,100,800
6,1,A,1,0,0,0,0,0,100000,32,1,100,100,800
7,1,A,1,0,0,0,0,0,100000,32,1,100,100,800
8,1,A,1,0,0,0,0,0,100000,32,1,100,100,800
9,1,A,1,0,0,0,0,0,100000,32,1,100,100,800
10,1,A,1,0,0,0,0,0,100000,32,1,100,100,800
11,1,B,0,1,0,0,0,0,010000,16,1,100,100,800
12,1,B,0,1,0,0,0,0,010000,16,1,100,100,800
13,1,B,0,1,0,0,0,0,010000,16,1,100,100,800
14,1,B,0,1,0,0,0,0,010000,16,1,100,100,800
15,1,B,0,1,0,0,0,0,010000,16,1,100,100,800
16,1,B,0,1,0,0,0,0,010000,16,1,100,100,800
17,1,B,0,1,0,0,0,0,010000,16,1,100,100,800
18,1,B,0,1,0,0,0,0,010000,16,1,100,100,800
19,1,B,0,1,0,0,0,0,010000,16,1,100,100,800
20,1,B,0,1,0,0,0,0,010000,16,1,100,100,800
21,1,D,0,0,0,1,0,0,000100,4,1,100,100,800
22,1,D,0,0,0,1,0,0,000100,4,1,100,100,800
23,1,D,0,0,0,1,0,0,000100,4,1,100,100,800
24,1,D,0,0,0,1,0,0,000100,4,1,100,100,800
25,1,D,0,0,0,1,0,0,000100,4,1,100,100,800
26,1,D,0,0,0,1,0,0,000100,4,1,100,100,800
27,1,D,0,0,0,1,0,0,000100,4,1,100,100,800
28,1,D,0,0,0,1,0,0,000100,4,1,100,100,800
29,1,D,0,0,0,1,0,0,000100,4,1,100,100,800
30,1,D,0,0,0,1,0,0,000100,4,1,100,100,800
31,1,E,0,0,0,0,1,0,000010,2,1,100,100,800
32,1,E,0,0,0,0,1,0,000010,2,1,100,100,800
33,1,E,0,0,0,0,1,0,000010,2,1,100,100,800
34,1,E,0,0,0,0,1,0,000010,2,1,100,100,800
35,1,E,0,0,0,0,1,0,000010,2,1,100,100,800
36,1,E,0,0,0,0,1,0,000010,2,1,100,100,800
37,1,E,0,0,0,0,1,0,000010,2,1,100,100,800
38,1,E,0,0,0,0,1,0,000010,2,1,100,100,800
39,1,E,0,0,0,0,1,0,000010,2,1,100,100,800
40,1,E,0,0,0,0,1,0,000010,2,1,100,100,800
41,1,F,0,0,0,0,0,1,000001,1,1,100,100,800
42,1,F,0,0,0,0,0,1,000001,1,1,100,100,800
43,1,F,0,0,0,0,0,1,000001,1,1,100,100,800
44,1,F,0,0,0,0,0,1,000001,1,1,100,100,800
45,1,F,0,0,0,0,0,1,000001,1,1,100,100,800
46,1,F,0,0,0,0,0,1,000001,1,1,100,100,800
47,1,F,0,0,0,0,0,1,000001,1,1,100,100,800
48,1,F,0,0,0,0,0,1,000001,1,1,100,100,800
49,1,F,0,0,0,0,0,1,000001,1,1,100,100,800
50,1,F,0,0,0,0,0,1,000001,1,1,100,100,800
51,1,C,0,0,1,0,0,0,001000,8,1,100,100,800
52,1,C,0,0,1,0,0,0,001000,8,1,100,100,800
53,1,C,0,0,1,0,0,0,001000,8,1,100,100,800
54,1,C,0,0,1,0,0,0,001000,8,1,100,100,800
55,1,C,0,0,1,0,0,0,001000,8,1,100,100,800
56,1,C,0,0,1,0,0,0,001000,8,1,100,100,800
57,1,C,0,0,1,0,0,0,001000,8,1,100,100,800
58,1,C,0,0,1,0,0,0,001000,8,1,100,100,800
59,1,C,0,0,1,0,0,0,001000,8,1,100,100,800
60,1,C,0,0,1,0,0,0,001000,8,1,100,100,800
